stamp_sec,cx,cy,w,h,cx_ref,cy_ref,D0,transformX,transformY,transformZ
1760509922.0,382.0,501.0,160.0,160.0,360.0,480.0,300.0,-0.702,0.6239999999999997,-4.327
1760509961.0,123.5,152.5,161.0,161.0,360.0,480.0,300.0,1.2279999999999998,2.05,-4.269
1760510000.0,430.5,121.5,189.0,189.0,360.0,480.0,300.0,1.2069999999999999,0.30900000000000016,-3.532
1760510042.0,780.0,446.0,178.0,178.0,360.0,480.0,300.0,-0.3500000000000001,-1.4300000000000002,-3.782
1760510082.0,330.0,464.5,174.0,175.0,360.0,480.0,300.0,-0.45299999999999985,0.843,-3.9130000000000003
1760510121.0,535.0,178.0,134.0,134.0,360.0,480.0,300.0,1.2889999999999997,-0.28900000000000015,-5.315
1760510161.0,893.3959350585938,368.474609375,130.0,130.0,360.0,480.0,300.0,-0.017999999999999794,-2.241,-4.293
1760510200.0,279.0,616.0,142.0,142.0,360.0,480.0,300.0,-1.522,1.3369999999999997,-4.944
1760510235.0,433.5,3.5,10.0,10.0,360.0,480.0,300.0,1.883,-0.007000000000000117,-4.276
1760510270.0,14.5,14.5,29.0,29.0,360.0,480.0,300.0,1.8129999999999997,2.282,-3.699
1760510306.0,748.0,5.090909004211426,14.0,14.0,360.0,480.0,300.0,1.6420000000000003,-1.509,-3.826
1760510341.0,333.5,578.0,163.0,164.0,360.0,480.0,300.0,-1.106,0.8719999999999999,-4.21
1760510377.0,819.5,294.5,147.0,147.0,360.0,480.0,300.0,0.4790000000000001,-1.9729999999999999,-4.737
1760510415.0,770.5,374.0,183.0,184.0,360.0,480.0,300.0,0.01100000000000012,-1.3330000000000002,-3.646
1760510450.0,307.0,556.0,132.0,132.0,360.0,480.0,300.0,-1.238,1.237,-5.358
1760510489.0,764.0,506.5,184.0,185.0,360.0,480.0,300.0,-0.6280000000000001,-1.298,-3.627
1760510529.0,253.5,116.5,139.0,139.0,360.0,480.0,300.0,1.638,1.524,-5.078
1760510565.0,569.5,443.5,159.0,159.0,360.0,480.0,300.0,-0.387,-0.42700000000000005,-4.341
1760510604.0,516.0,439.0,162.0,162.0,360.0,480.0,300.0,-0.355,-0.12300000000000022,-4.256
1760510640.0,218.0,175.0,142.0,142.0,360.0,480.0,300.0,1.2359999999999998,1.7119999999999997,-4.948
1760510678.0,301.5,353.0,139.0,138.0,360.0,480.0,300.0,0.125,1.2199999999999998,-5.094
1760510717.0,195.5,642.5,150.0,150.0,360.0,480.0,300.0,-1.359,1.2590000000000003,-3.698
1760510756.0,205.0,148.5,180.0,179.0,360.0,480.0,300.0,1.1260000000000003,1.4349999999999996,-3.739
1760510792.0,667.0,422.0,154.0,154.0,360.0,480.0,300.0,-0.2749999999999999,-1.0030000000000001,-4.492
